Czas Odczytu,Wartość
2025-01-02 14:29:17,22.0 °C
2025-01-02 14:29:18,22.0 °C
2025-01-02 14:29:18,22.0 °C
2025-01-02 14:29:19,22.0 °C
2025-01-02 14:29:19,22.0 °C
2025-01-02 14:29:20,22.0 °C
2025-01-02 14:29:20,22.0 °C
2025-01-02 14:29:21,22.0 °C
2025-01-02 14:29:21,22.0 °C
2025-01-02 14:29:22,22.0 °C
2025-01-02 14:29:22,22.0 °C
2025-01-02 14:29:22,22.0 °C
2025-01-02 14:29:23,22.0 °C
2025-01-02 14:29:23,22.0 °C
2025-01-02 14:29:24,22.0 °C
2025-01-02 14:29:24,22.0 °C
2025-01-02 14:29:25,22.0 °C
2025-01-02 14:29:25,22.0 °C
2025-01-02 14:29:26,22.0 °C
2025-01-02 14:29:26,22.0 °C
2025-01-02 14:29:27,22.0 °C
2025-01-02 14:29:27,22.0 °C
2025-01-02 14:29:28,22.0 °C
2025-01-02 14:29:28,22.0 °C
2025-01-02 14:29:29,22.0 °C
2025-01-02 14:29:29,22.0 °C
2025-01-02 14:29:29,22.0 °C
2025-01-02 14:29:30,22.0 °C
2025-01-02 14:29:30,22.0 °C
2025-01-02 14:29:31,22.0 °C
2025-01-02 14:29:31,22.0 °C
2025-01-02 14:29:32,22.0 °C
2025-01-02 14:29:32,22.0 °C
2025-01-02 14:29:33,22.0 °C
2025-01-02 14:29:33,22.0 °C
2025-01-02 14:29:34,22.0 °C
2025-01-02 14:29:34,22.0 °C
2025-01-02 14:29:35,22.0 °C
2025-01-02 14:29:35,22.0 °C
2025-01-02 14:29:36,22.0 °C
2025-01-02 14:29:36,22.0 °C
2025-01-02 14:29:37,22.0 °C
2025-01-02 14:29:37,22.0 °C
2025-01-02 14:29:37,22.0 °C
2025-01-02 14:29:38,22.0 °C
2025-01-02 14:29:38,22.0 °C
2025-01-02 14:29:39,22.0 °C
2025-01-02 14:29:39,22.0 °C
2025-01-02 14:29:40,22.0 °C
2025-01-02 14:29:40,22.0 °C
2025-01-02 14:29:41,22.0 °C
2025-01-02 14:29:41,22.0 °C
2025-01-02 14:29:42,22.0 °C
2025-01-02 14:29:42,22.0 °C
2025-01-02 14:29:43,22.0 °C
2025-01-02 14:29:43,22.0 °C
2025-01-02 14:29:44,22.0 °C
2025-01-02 14:29:44,22.0 °C
2025-01-02 14:29:44,22.0 °C
2025-01-02 14:29:45,22.0 °C
2025-01-02 14:29:45,22.0 °C
2025-01-02 14:29:46,22.0 °C
2025-01-02 14:29:46,22.0 °C
2025-01-02 14:29:47,22.0 °C
2025-01-02 14:29:47,22.0 °C
2025-01-02 14:29:48,22.0 °C
2025-01-02 14:29:48,22.0 °C
2025-01-02 14:29:49,22.0 °C
2025-01-02 14:29:49,22.0 °C
2025-01-02 14:29:50,22.0 °C
2025-01-02 14:29:50,22.0 °C
2025-01-02 14:29:50,22.0 °C
2025-01-02 14:29:51,22.0 °C
2025-01-02 14:29:51,22.0 °C
2025-01-02 14:29:52,22.0 °C
2025-01-02 14:29:52,22.0 °C
2025-01-02 14:29:53,22.0 °C
2025-01-02 14:29:53,22.0 °C
2025-01-02 14:29:54,22.0 °C
2025-01-02 14:29:54,22.0 °C
2025-01-02 14:29:55,22.0 °C
2025-01-02 14:29:55,22.0 °C
2025-01-02 14:29:56,22.0 °C
2025-01-02 14:29:56,22.0 °C
2025-01-02 14:29:57,22.0 °C
2025-01-02 14:29:57,22.0 °C
2025-01-02 14:29:58,22.0 °C
2025-01-02 14:29:58,22.0 °C
2025-01-02 14:29:58,22.0 °C
2025-01-02 14:29:59,22.0 °C
2025-01-02 14:29:59,22.0 °C
2025-01-02 14:30:00,22.0 °C
2025-01-02 14:30:00,22.0 °C
2025-01-02 14:30:01,22.0 °C
2025-01-02 14:30:01,22.0 °C
2025-01-02 14:30:02,22.0 °C
2025-01-02 14:30:02,22.0 °C
2025-01-02 14:30:03,22.0 °C
2025-01-02 14:30:03,22.0 °C
2025-01-02 14:30:04,22.0 °C
2025-01-02 14:30:04,22.0 °C
2025-01-02 14:30:04,22.0 °C
